"study.name","species","tag","id","id.tag","how.fate.determined","sex","age.at.deployment","sex.1","start.date","end.date","start.lat","start.long","end.lat","end.long","start.country","end.country","mean.GPS.dist.last10fixes","mean.GPS.fixrate.last10fixes","how.fate.determined.1","cause.of.death","death.or.failure.date","comments"
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",130662,"Agri","Agri_130662","NA",NA,NA,NA,2013-06-22 01:00:00,2014-07-19 14:00:00,40.08083,43.667,39.7845,43.24833,"Turkey","Turkey",0.000104732100678797,2.6,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",118176,"Aras","Aras_118176","NA",NA,NA,NA,2012-08-18 13:00:00,2013-02-05 16:00:00,40.12183,43.5835,9.913,40.25233,"Turkey","Ethiopia",0.0519699109088051,0.0416666666666667,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",210,"Ardahan","Ardahan_210","NA",NA,NA,NA,2013-06-22 01:14:53,2013-07-09 18:59:15,40.07148,43.66676,40.30445,43.86329,"Turkey","Armenia",0.000120531985897034,0.0148020833333333,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",48500703868,"Armenia2","Armenia2_48500703868","NA",NA,NA,NA,2015-07-22 05:01:00,2015-10-19 06:00:00,39.491799,46.35705,7.694799,43.088633,"Armenia","Ethiopia",0.0398627759033246,0.249930555555556,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",48500704009,"Armenia3","Armenia3_48500704009","NA",NA,NA,NA,2015-07-24 00:02:00,2015-11-07 12:01:00,39.5061,46.345799,6.094299,44.768033,"Armenia","Ethiopia",0.0852833872992511,0.700069444444444,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",118174,"Arpacay","Arpacay_118174","NA",NA,NA,NA,2012-08-20 17:00:00,2012-09-25 17:00:00,40.123,43.60117,31.403,45.07967,"Turkey","Iraq",0.187637961794513,0.0916666666666667,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",132087,"Cabuk","Cabuk_132087","NA",NA,NA,NA,2014-07-01 03:00:35,2015-12-07 18:00:34,40.0833,43.6676,11.0695,40.364,"Turkey","Ethiopia",0.0507100600544113,0.133333333333333,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",127589,"Djibouti","Djibouti_127589","NA",NA,NA,NA,2013-04-04 22:47:53,2014-05-04 12:41:16,11.1891,42.764,10.438,42.261,"Djibouti","Ethiopia",0.09259482616292,0.0755983796296296,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",132084,"Haydi","Haydi_132084","NA",NA,NA,NA,2014-06-09 02:46:24,2016-04-15 16:00:11,40.0813,43.6665,1.6531,37.8021,"Turkey","Kenya",0.000344998923321753,0.15,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",118175,"Igdir","Igdir_118175","NA",NA,NA,NA,2012-08-22 05:00:00,2015-02-11 16:00:00,40.12167,43.5835,3.97417,42.12083,"Turkey","Somalia",0.0806649681129253,0.0416666666666667,"NA",NA,NA,NA
"Egyptian Vulture in the Middle East and East Africa","Neophron percnopterus",132086,"Iste","Iste_132086","still transmitting",NA,NA,NA,2014-06-10 02:36:30,2019-11-11 16:00:33,40.0831,43.6674,10.2102,42.1613,"Turkey","Ethiopia",0.023022788096572,0.108333333333333,"still transmitting",NA,NA,NA
